u	p	c	1	o	c	n	p	p
u	p	c	1	o	c	n	n	r
u	p	c	1	o	c	s	p	p
u	p	c	1	o	c	s	n	r
u	p	c	1	o	c	p	r	p
u	p	c	1	o	c	p	p	p
u	p	c	1	o	c	p	n	r
u	p	c	1	o	i	n	r	v
u	p	c	1	o	i	n	p	p
u	p	c	1	o	i	n	n	r
u	p	c	1	o	i	s	r	v
u	p	c	1	o	i	s	p	p
u	p	c	1	o	i	s	n	r
u	p	c	1	o	i	p	r	p
u	p	c	1	o	i	p	p	p
u	p	c	1	o	i	p	n	r
u	p	c	1	l	c	n	r	v
u	p	c	1	l	c	n	p	p
u	p	c	1	l	c	n	n	r
u	p	c	1	l	c	s	r	v
u	p	c	1	l	c	s	p	p
u	p	c	1	l	c	s	n	r
u	p	c	1	l	c	p	r	p
u	p	c	1	l	c	p	p	p
u	p	c	1	l	c	p	n	r
u	p	c	1	l	i	n	r	v
u	p	c	1	l	i	n	p	p
u	p	c	1	l	i	n	n	r
u	p	c	1	l	i	s	r	v
u	p	c	1	l	i	s	p	p
u	p	c	1	l	i	s	n	r
u	p	c	1	l	i	p	r	p
u	p	c	1	l	i	p	p	p
u	p	c	1	l	i	p	n	r
u	p	c	1	c	c	n	r	v
u	p	c	1	c	c	n	p	p
u	p	c	1	c	c	n	n	r
u	p	c	1	c	c	s	r	v
u	p	c	1	c	c	s	p	p
u	p	c	1	c	c	s	n	r
u	p	c	1	c	c	p	r	p
u	p	c	1	c	c	p	p	p
u	p	c	1	c	c	p	n	r
u	p	c	1	c	i	n	r	v
u	p	c	1	c	i	n	p	p
u	p	c	1	c	i	n	n	r
u	p	c	1	c	i	s	r	v
u	p	c	1	c	i	s	p	p
u	p	c	1	c	i	s	n	r
u	p	c	1	c	i	p	r	p
u	p	c	1	c	i	p	p	p
u	p	c	1	c	i	p	n	r
u	p	c	2	o	c	n	r	v
u	p	c	2	o	c	n	p	p
u	p	c	2	o	c	n	n	r
u	p	c	2	o	c	s	r	v
u	p	c	2	o	c	s	p	p
u	p	c	2	o	c	s	n	r
u	p	c	2	o	c	p	r	p
u	p	c	2	o	c	p	p	p
u	p	c	2	o	c	p	n	r
u	p	c	2	o	i	n	r	v
u	p	c	2	o	i	n	p	p
u	p	c	2	o	i	n	n	r
u	p	c	2	o	i	s	r	v
u	p	c	2	o	i	s	p	p
u	p	c	2	o	i	s	n	r
u	p	c	2	o	i	p	r	p
u	p	c	2	o	i	p	p	p
u	p	c	2	o	i	p	n	r
u	p	c	2	l	c	n	r	v
u	p	c	2	l	c	n	p	p
u	p	c	2	l	c	n	n	r
u	p	c	2	l	c	s	r	v
u	p	c	2	l	c	s	p	p
u	p	c	2	l	c	s	n	r
u	p	c	2	l	c	p	r	p
