y	u	u	n	l	y	2	1	2	t	N	b
y	u	u	n	l	y	2	1	2	t	N	n
y	u	c	n	l	y	3	5	9	c	N	n
y	u	u	n	l	y	3	6	9	c	N	n
n	u	c	n	l	y	3	6	2	t	?	n
y	u	u	n	l	y	3	6	2	c	N	n
n	c	c	n	l	y	2	7	2	t	C	n
n	c	c	n	l	y	2	7	9	t	C	n
y	u	u	n	x	y	4	2	7	c	N	b
y	u	u	n	l	y	3	5	2	c	N	n
y	u	u	n	l	y	3	5	9	c	N	n
y	u	u	n	l	y	2	1	2	t	N	b
y	u	u	n	l	y	2	1	7	t	N	b
y	u	u	n	l	y	2	1	7	t	N	b
y	u	u	n	l	y	2	1	2	t	N	n
?	c	c	n	l	n	1	3	9	c	N	b
n	c	c	n	l	n	1	3	5	c	C	n
n	c	c	n	l	n	1	3	1	c	C	n
y	u	u	n	l	y	1	3	5	c	C	n
y	u	u	n	l	y	1	3	1	c	C	n
n	c	c	n	n	n	2	4	2	t	C	n
n	c	c	n	n	y	2	4	9	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	7	2	s	C	b
n	c	c	n	l	y	2	7	9	t	S	b
n	c	c	n	l	y	2	7	9	t	S	b
n	u	c	n	l	y	2	7	9	t	S	n
n	u	c	n	l	y	2	7	2	t	S	n
n	c	c	n	l	n	2	8	2	t	C	b
n	c	c	n	l	n	2	8	2	t	C	b
n	u	c	n	l	y	3	5	2	t	N	n
n	u	c	n	l	y	3	5	9	t	N	n
y	u	u	n	l	y	2	1	2	t	?	n
y	u	u	n	l	y	2	1	7	t	?	n
n	c	c	n	l	n	2	8	2	t	?	b
n	c	c	n	l	y	1	3	1	c	?	n
n	c	c	n	l	y	3	5	2	s	C	b
y	u	u	n	l	y	3	6	2	t	?	n
y	u	u	n	l	y	3	6	9	t	N	n
n	u	c	n	l	y	3	5	9	c	N	n
n	u	c	n	l	y	3	5	2	c	N	n
n	c	c	n	l	y	1	3	1	c	N	n
n	c	c	n	l	y	2	4	9	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	u	c	n	l	y	2	7	2	t	N	n
n	u	c	n	l	y	2	7	9	t	N	n
n	c	c	n	l	y	2	4	2	t	?	n
n	c	c	n	l	y	2	1	2	t	C	n
n	c	c	n	l	y	2	1	7	t	C	n
n	u	u	n	l	y	3	6	9	t	S	n
y	u	u	n	l	y	2	7	2	t	N	b
y	u	u	n	l	y	2	7	2	t	N	b
n	c	c	n	l	n	2	4	2	t	C	n
n	c	c	n	l	n	2	4	9	t	C	n
n	c	c	n	l	y	3	5	9	s	C	n
n	c	c	n	l	y	2	4	9	t	C	n
n	u	c	n	l	y	4	2	7	c	N	n
n	u	c	n	l	y	4	2	2	c	N	n
y	u	u	n	l	y	2	1	7	t	N	b
y	u	u	n	l	y	2	7	2	t	O	b
y	u	u	n	l	n	2	7	9	t	O	b
y	u	u	n	l	y	2	7	2	t	O	n
y	u	u	n	l	y	2	7	9	t	O	n
?	u	u	n	l	y	2	7	2	t	O	b
?	u	u	n	l	y	2	7	2	t	O	b
?	u	u	n	l	n	2	7	2	t	O	b
y	u	u	n	l	y	2	4	9	t	O	b
n	u	c	n	l	y	2	1	7	t	?	n
n	c	c	n	l	y	2	8	9	t	C	n
n	c	u	n	l	y	1	3	9	c	N	n
n	u	u	n	x	y	4	2	2	c	N	n
n	u	u	n	l	y	3	6	2	c	N	n
n	c	c	n	l	y	2	1	2	t	C	n
n	u	c	n	l	y	2	1	2	t	?	n
y	u	u	n	l	y	1	3	1	c	N	n
n	c	u	n	l	y	1	3	0	c	N	n
y	u	u	n	l	y	1	3	5	c	N	n
n	u	c	n	l	y	3	6	9	t	?	b
y	u	u	n	l	y	1	3	5	c	N	n
y	u	u	n	l	y	1	3	9	c	N	n
n	u	c	n	l	y	2	8	9	t	S	n
y	u	u	n	l	y	1	3	1	c	N	n
n	u	c	n	l	y	2	7	2	t	?	n
n	u	c	n	l	y	2	7	9	t	?	n
n	c	c	n	l	y	2	4	9	t	C	n
y	u	u	n	l	y	2	1	7	t	N	b
n	u	c	n	l	y	3	6	2	t	?	n
y	u	u	n	l	n	2	1	7	t	?	b
y	u	u	n	l	y	2	1	2	t	?	n
n	u	c	n	l	y	3	6	9	t	?	n
n	c	c	n	l	y	2	8	2	t	?	n
n	c	c	n	l	y	2	8	9	t	?	n
y	u	u	n	l	y	2	1	7	t	N	b
n	c	c	n	l	y	2	8	1	t	C	b
y	u	u	n	l	n	2	7	2	t	N	n
y	u	u	n	l	n	2	7	9	t	N	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	4	9	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	4	9	t	C	n
n	u	c	n	l	y	2	7	2	s	C	n
n	u	c	n	l	y	2	7	9	s	C	n
n	u	c	n	l	y	1	3	1	c	N	n
n	u	c	n	l	y	1	3	5	c	N	n
n	c	c	n	l	y	2	7	2	s	C	b
n	c	c	n	l	n	3	6	2	t	C	b
y	c	c	n	l	n	1	3	9	c	N	b
n	c	c	n	l	y	3	5	2	s	C	b
n	c	c	n	l	y	3	5	2	s	C	b
y	u	t	n	l	y	2	1	7	t	?	b
y	u	u	n	l	y	2	1	7	t	C	b
y	u	u	n	l	y	2	1	7	t	N	b
n	c	c	n	l	n	2	4	2	t	C	n
n	c	c	n	l	y	2	4	9	t	C	n
y	u	u	n	l	y	1	3	5	c	N	n
y	u	u	n	l	n	4	2	7	c	N	n
y	u	u	n	l	n	4	2	2	c	N	n
y	u	u	n	l	y	1	3	1	c	N	n
n	c	c	n	l	y	3	5	2	t	C	b
n	c	c	n	l	y	3	5	2	t	C	b
y	u	u	n	l	n	2	1	7	t	N	b
n	c	c	n	l	n	3	5	2	t	C	b
y	u	u	n	l	n	2	1	7	t	N	b
y	u	u	n	l	n	2	1	7	t	N	b
y	u	u	n	l	y	4	2	2	c	N	n
y	u	u	n	l	y	4	2	7	c	N	n
n	c	c	n	l	y	2	4	9	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	4	9	t	C	n
n	u	c	n	l	y	2	7	2	t	?	n
n	u	c	n	l	y	2	7	9	t	?	n
n	u	c	n	l	y	3	6	9	c	N	n
n	u	t	n	l	y	3	6	2	c	N	n
y	u	u	n	l	n	2	1	2	t	N	n
y	u	u	n	l	n	2	1	7	t	N	b
n	c	c	n	l	n	3	6	9	t	C	b
n	c	c	n	l	y	2	4	2	t	C	n
n	u	c	n	l	y	2	8	2	t	S	n
n	u	c	n	l	y	2	8	9	t	S	n
n	c	c	n	l	y	2	4	9	t	C	n
n	u	c	n	l	n	2	7	2	t	C	n
n	u	c	n	l	y	2	7	9	t	C	n
n	c	c	n	l	y	2	4	2	t	C	n
n	c	c	n	l	y	2	8	9	t	C	n
n	c	c	n	l	y	2	8	2	t	C	n
n	c	c	n	l	y	3	6	9	t	C	n
n	c	c	n	l	y	3	6	2	t	C	n
y	u	u	n	l	n	4	2	7	c	N	b
n	c	c	n	l	n	2	4	9	t	C	n
n	c	c	n	l	y	3	5	2	t	?	n
n	c	c	n	l	y	3	5	9	t	?	n
y	u	u	n	l	y	1	3	1	c	N	b
n	u	c	n	l	y	3	5	9	t	S	b
n	c	c	n	l	y	3	6	2	t	?	n
n	c	c	n	l	y	3	6	9	t	?	n
n	c	c	n	l	y	2	8	2	t	C	n
n	c	c	n	l	y	2	8	9	t	C	n
n	c	c	n	l	y	3	5	2	t	C	n
n	c	c	n	l	y	2	7	2	t	C	n
n	c	c	n	l	y	2	7	9	t	C	n
n	c	c	n	l	n	3	5	9	t	C	n
n	c	c	n	l	n	2	4	2	t	C	b
y	u	u	n	l	n	3	6	9	c	N	b
y	u	u	n	l	y	3	6	2	s	N	b
n	u	c	n	l	y	2	4	9	t	C	b
y	u	t	n	l	y	3	5	2	c	N	b
y	u	u	n	l	y	1	3	1	c	N	b
n	u	c	n	l	y	3	5	9	t	N	b
n	c	c	n	l	n	2	4	2	t	C	b
n	u	c	n	l	y	2	7	9	t	N	b
y	c	c	n	l	y	1	3	9	c	N	b
y	c	c	n	l	y	1	3	0	c	?	b
y	u	u	n	l	y	3	6	2	c	C	b
n	c	c	n	l	n	2	4	9	t	C	n
n	c	c	n	l	n	2	4	2	t	C	n
y	u	u	n	l	y	3	6	9	c	N	b
y	u	u	n	x	y	3	6	9	c	N	b
y	u	u	n	l	y	1	3	1	c	N	b
y	u	u	n	x	y	3	5	9	c	N	b
n	c	c	n	l	n	2	7	2	s	C	n
n	c	c	n	l	y	3	5	9	t	C	n
n	c	c	n	l	y	3	5	2	t	C	n
y	u	u	n	l	y	4	2	7	c	N	n
y	u	t	n	l	n	4	2	2	c	N	n
n	c	c	n	l	y	1	3	9	c	N	n
n	c	c	n	l	y	3	5	2	t	N	n
